Alleles	D3S1358	TH01	D21S11	D18S51	PENTA.E	D5S818	D13S317	D7S820	D16S539	CSF1PO	PENTA.D	VWA	D8S1179	TPOX	FGA	D19S433	D1S1656	D12S391	D2S1338	D6S1043	D22S1045	D2S441	SE33	D10S1248
2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0035794288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000109982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	5.9994e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	NA	0.000639936	NA	NA	0.0370540963	NA	NA	NA	4.99865e-05	NA	0.0014597695	NA	NA	0.000159958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	NA	0.295609995	NA	NA	0.0005099179	NA	0.00053986	0.0001099599	NA	6.00042e-05	0.0003899379	NA	NA	0.00260932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	NA	0.2602839956	NA	NA	0.0943348907	0.0692840849	0.00026993	0.014074885	0.00010997	0.00167012	0.0101383967	NA	NA	0.00141963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017964072	NA
8	NA	0.0800019986	NA	NA	0.0278454972	0.0063485386	0.0911463003	0.1033328902	0.0175753064	0.00448031	0.0136577955	NA	0.0089775796	0.483364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00042e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	0.1234079979	NA	0.0003799324	0.0069488893	0.0420902908	0.1598980005	0.0881681063	0.1617260593	0.0218515002	0.1903299379	NA	0.0076179396	0.0778798	NA	0.0028488617	NA	NA	NA	0.0009000885	NA	0.0018	0.001996008	NA
9.1	NA	NA	NA	NA	NA	NA	NA	4.99818e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005599098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9.3	NA	0.2308869961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	4.99865e-05	0.0080791899	NA	0.0072787068	0.0601603941	0.0532477884	0.0756003002	0.2623357212	0.10912104	0.2693090023	0.2066769325	NA	0.0687014967	0.0475976	NA	NA	0.0069179916	NA	NA	0.0054005372	NA	0.1761	NA	NA
10.2	NA	NA	NA	0.0001099801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.00042e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	0.0005498524	0.00069993	NA	0.0114379106	0.0877859913	0.422062908	0.2246320007	0.3095686711	0.2766551014	0.2822400024	0.1604239476	0.0008698607	0.0724503965	0.289555	NA	0.0256398149	0.0511932119	NA	NA	0.2165218861	0.0951	0.3239	0.003493014	0.0035
11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0028488617	NA	NA	NA	NA	NA	NA	0.0017964072	NA
11.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0898	NA	NA
12	0.0018595012	NA	NA	0.1270571181	0.182170982	0.2710179409	0.2417570007	0.1862328021	0.2761551012	0.3475540029	0.1700529445	0.0008198687	0.143490993	0.0943255	NA	0.0683728397	0.0809405188	NA	NA	0.230122879	0.0088	0.0211	0.0069860279	0.0511
12.1	NA	NA	NA	NA	NA	NA	NA	4.99818e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017964072	NA
12.2	NA	NA	NA	NA	NA	NA	NA	4.99818e-05	NA	NA	NA	NA	NA	NA	NA	0.0227909132	NA	NA	NA	NA	NA	NA	NA	NA
12.3	NA	NA	NA	NA	NA	NA	NA	4.99818e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0018	NA	NA
13	0.0039889225	NA	NA	0.1153491072	0.0946148906	0.1250009727	0.1278370004	0.0309288671	0.1378630505	0.0620943005	0.168372945	0.0041393385	0.3043779852	0.00255933	NA	0.196581114	0.0927011215	NA	NA	0.1060109442	0.0035	0.0246	0.003493014	0.308
13.2	NA	NA	NA	0.0001099801	0.000109982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0911736529	NA	NA	NA	NA	NA	NA	0.003493014	NA
13.3	NA	5.9994e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	0.0748298476	NA	NA	0.2049231905	0.0729782928	0.0084280582	0.0760402002	0.0046183251	0.019164807	0.0086806101	0.0540912824	0.0641796768	0.2222999892	0.000109971	NA	0.2820571636	0.142165033	0.0003463979	0.0056003592	0.0643062662	0.0299	0.3134	0.0386227545	0.2835
14.2	NA	NA	NA	0.0001599711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0569772331	NA	NA	NA	NA	NA	NA	0.003493014	NA
14.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004497201	NA	NA	NA	NA	NA	NA	NA
15	0.3510252234	NA	NA	0.1418841319	0.0981242903	0.0020795195	0.00195949	0.0001599418	0.0013096505	0.00167012	0.0151175951	0.0942848659	0.1372829933	NA	NA	0.1367550793	0.1677620389	0.0511930873	NA	0.0389038795	0.405	0.044	0.0492015968	0.206
15.2	NA	NA	NA	4.99911e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0541284314	NA	NA	NA	NA	NA	NA	0.0017964072	NA
15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0401244093	NA	NA	NA	NA	NA	NA	NA
16	0.2797541781	NA	NA	0.1199981116	0.0592604941	0.000219949	4.9987e-05	NA	NA	NA	0.0036394188	0.3091808881	0.0304617985	4.9987e-05	0.0003799433	0.0341863198	0.1542710358	0.0370116908	0.0588234918	0.0082008057	0.3785	0.0035	0.0527944112	0.125
16.2	NA	NA	NA	4.99911e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0113954066	NA	NA	NA	NA	NA	NA	0.0017964072	NA
16.3	NA	NA	NA	NA	0.0008998559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0615701143	NA	NA	NA	NA	NA	0.003493014	NA
16.4	NA	NA	NA	NA	5.99904e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	0.1609171024	NA	NA	0.1240481153	0.0532114947	NA	NA	NA	NA	NA	0.0008998557	0.2827348976	0.0033690898	NA	0.0022296715	NA	0.0442752103	0.1131089719	0.2296939678	0.0516051729	0.0757	NA	0.1016966068	0.0194
17.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013835997	NA	NA	NA	NA	NA	NA
17.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017964072	NA
17.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1020410237	0.0100315975	NA	NA	NA	NA	0.0017964072	NA
18	0.1170280745	NA	NA	0.0671380624	0.0385837962	NA	NA	NA	NA	NA	0.0001699729	0.1670229395	0.000649825	NA	0.0108384073	NA	0.0062261914	0.2123819473	0.0700242902	0.0978096486	0.0035	NA	0.0738522954	0.0035
18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003463979	NA	0.0009000885	NA	NA	NA	NA
18.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003799433	NA	NA	NA	NA	NA	NA	NA	NA	NA
18.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0356282083	0.0117605971	NA	0.0009000885	NA	NA	NA	NA
19	0.0089076057	NA	5.0001e-05	0.0363835338	0.0261557974	NA	NA	NA	NA	NA	5.99904e-05	0.0642396768	4.99865e-05	NA	0.087627059	NA	0.0003463991	0.1549629616	0.1540589784	0.0879086538	NA	NA	0.050998004	NA
19.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024217894	NA	NA	NA	NA	NA	NA
19.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001599761	NA	NA	NA	NA	NA	NA	NA	NA	NA
19.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0072643917	0.0048425888	NA	0.0018001791	NA	NA	NA	NA
20	0.0007098085	NA	NA	0.0195365182	0.0253658975	NA	NA	NA	NA	NA	NA	0.0112281959	NA	NA	0.0924662622	NA	NA	0.1349009665	0.1260479824	0.0525052724	NA	NA	0.0474051896	NA
20.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006917978	NA	NA	NA	NA	NA	NA
20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002199671	NA	NA	NA	NA	NA	NA	NA	0.0087824351	NA
20.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003463991	0.0003463979	NA	0.0018001791	NA	NA	NA	NA
21	0.0001099701	NA	NA	0.0114379106	0.0210665979	NA	NA	NA	NA	NA	NA	0.0009298507	NA	4.9987e-05	0.144148097	NA	NA	0.1023859746	0.0252114965	0.0109010943	NA	NA	0.0404191617	NA
21.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9987e-05	0.0020197014	NA	NA	NA	NA	NA	NA	NA	0.0157684631	NA
21.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0100009947	NA	NA	NA	NA
22	NA	NA	NA	0.008588468	0.0075687893	NA	NA	NA	NA	NA	NA	4.9992e-05	NA	NA	0.1260710848	NA	NA	0.068834383	0.0560232922	0.0018001791	NA	NA	0.0122754491	NA
22.2	NA	NA	NA	4.99911e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0039794027	NA	NA	0.0003463979	NA	NA	NA	NA	0.0316367265	NA
22.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99925e-05	NA	NA	NA	NA	0.0045004476	NA	NA	NA	NA
23	NA	NA	NA	0.0023495822	0.0034494497	NA	NA	NA	NA	NA	NA	4.9992e-05	NA	NA	0.1212820816	NA	NA	0.0491176878	0.1372579808	0.0036003581	NA	NA	0.0017964072	NA
23.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024496316	NA	NA	NA	NA	NA	NA	NA	0.0263473054	NA
23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009000885	NA	NA	NA	NA
24	NA	NA	5.0001e-05	0.001039811	0.0011298199	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151507102	NA	NA	0.0249046938	0.0532231926	0.0027002686	NA	NA	NA	NA
24.2	NA	NA	0.0008700174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0007098955	NA	NA	NA	NA	NA	NA	NA	0.0404191617	NA
24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003463979	NA	NA	NA	NA	NA	NA
25	NA	NA	0.0003300071	0.0001599711	0.000279955	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1504171012	NA	NA	0.0114151972	0.0504229929	NA	NA	NA	NA	NA
25.2	NA	NA	0.0005400112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99925e-05	NA	NA	NA	NA	NA	NA	NA	0.0263473054	NA
25.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99925e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	NA	NA	0.0015800307	4.99911e-05	5.99904e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0737390496	NA	NA	0.0031135892	0.0168108977	NA	NA	NA	NA	NA
26.2	NA	NA	0.0001600031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99925e-05	NA	NA	NA	NA	NA	NA	NA	0.0351297405	NA
27	NA	NA	0.0163803074	0.0001599711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0219967148	NA	NA	0.0020753895	0.0028001796	NA	NA	NA	NA	NA
27.2	NA	NA	0.000110002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0561876247	NA
28	NA	NA	0.0937519425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005989114	NA	NA	NA	NA	NA	NA	NA	NA	NA
28.2	NA	NA	0.0007600153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0649700599	NA
29	NA	NA	0.196434089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005399204	NA	NA	NA	NA	NA	NA	NA	NA	NA
29.2	NA	NA	0.0020700409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0808383233	NA
30	NA	NA	0.2722851233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001599761	NA	NA	NA	NA	NA	NA	NA	NA	NA
30.2	NA	NA	0.0253605115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0422155689	NA
31	NA	NA	0.0620912281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002199671	NA	NA	NA	NA	NA	NA	NA	NA	NA
31.2	NA	NA	0.1131220512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0281437126	NA
32	NA	NA	0.0092001842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32.1	NA	NA	0.0001600031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32.2	NA	NA	0.1384330627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0140718563	NA
33	NA	NA	0.002120041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0069860279	NA
33.1	NA	NA	0.000110002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33.2	NA	NA	0.0543011246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087824351	NA
33.3	NA	NA	0.000110002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	NA	NA	0.0004400092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0017964072	NA
34.2	NA	NA	0.0063701329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003493014	NA
35	NA	NA	0.0010300205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
